Abraham Lincoln School,355.2,347.2,
Academy Hill School,504.1,510.2,543.5
Acton Elementary School,592.1,595.9,698.2
Adams School,591.1,586.9,647.8
Agnes Gray School,507.7,510,539.6
Airline Community School,557.9,561.2,692.2
Albert S Hall School,492.3,493.8,538.4
Albion Elementary School,502.1,508.1,541.2
Alexander Elementary,548.3,554.1,647.6
Alfred Elementary School,475.2,475.3,543.1
Alton Elementary School,429.2,427.5,537.2
Ames Elementary School,453,452.7,544.2
Andover Elementary School,482.2,483,546
Appleton Village School,580.7,579.9,717.8
Asa C Adams School,449.2,441.5,544
Ashland Central School,433.9,434.4,542.5
Ashland Community High School,734.2,740.8,845
Ashley Bryan School,656.7,654.3,630
Athens Elementary School,581,585.2,665.7
Auburn Middle School,792.5,796.9,840.7
Aucocisco School,612.7,640,828
Baldwin Consolidated School,394.6,392.4,
Bath Middle School,749.2,757.7,844.1
Bay Ridge Elementary,603.7,603.9,706.2
Beals Elementary School,649.5,656.9,762.2
Beatrice Rafferty School,567.5,571.1,669.3
Beech Hill School,584.7,588.9,746.1
Belgrade Central School,460.4,456.6,544.1
Benton Elementary School,492.7,494.2,542
Biddeford Intermediate School,494.9,494.5,542.7
Biddeford Middle School,739.1,745.7,
Biddeford Primary School,345.3,342.8,
Bloomfield Elementary School,376.5,375.7,
Blue Hill Consolidated School,581,579.9,714.5
Bonny Eagle Middle School,737.8,744.1,842.9
Boothbay Region Elem School,613.6,617.8,711.9
Bowdoin Central School,449.1,445.9,540.8
Bowdoinham Community School,445.4,441,543.6
Brewer Middle School,747.6,755.3,842.3
Bridgewater Grammar School,492.8,493,544
Bristol Consolidated School,617.8,620.1,721.8
Brooklin School,595.9,599.7,686
Brooksville Elementary School,593.3,597.7,784.7
Brownville Elementary School,484.1,488.1,538.3
Bruce M Whittier Middle School,803.2,809.6,849
Brunswick Jr High School,743,750.6,845.3
Buckfield Jr-Sr High School,793.9,798.1,841
Bucksport Middle School,695.1,702.9,703.7
Burchard A Dunn School,447.8,447.5,543
C K Burns School,443.5,444,541.2
Calais Elementary School,495.3,497.6,542
Calais Middle/High School,795.5,800.3,844.9
Camden-Rockport Elementary School,402.6,398.1,
Camden-Rockport Middle School,714,713.3,712.6
Canaan Elementary School,473.1,473.8,544.1
Cape Cod Hill Elem School,515.8,517.2,539.3
Cape Elizabeth Middle School,699.8,700.6,694
Captain Albert W. Stevens School,453.2,452.3,543.2
Caravel Middle School,744,750.7,843.9
Caribou Middle School,694.5,699.8,700
Carl J Lamb School,491,490.3,540.7
Carmel Elementary School,433.1,430.8,553.9
Carrabec Community School,695.7,700,779.3
Carrie Ricker Middle School,634.9,642.6,706.7
Cascade Brook School,544.5,547.7,542.8
Cave Hill School,586.4,585.1,671.1
Center Drive School,613.4,617.7,709.8
Central Aroostook Jr-Sr H S,797.8,812.3,834.8
Central Elementary School,496,498,546
Central Maine Learning Center,788.7,810.7,804.4
Central Middle School,733.6,742.9,839.2
Central School,346.9,345.7,
Charles A Snow School,452.1,452.9,540.1
Charlotte Elementary School,579,574.1,688.3
Chebeague Island School,491.6,487.6,551.2
Chelsea Elementary School,572.9,577.4,650.5
Cherryfield Elementary,631.8,630.7,705.1
China Middle School,692.4,696,689.5
China Primary School,392.2,392.9,
Cliff Island School,436.5,428,560
Clinton Elementary School,501.5,499.8,541.2
Coastal Ridge Elementary,408.1,400.5,
Coffin School,456.2,454.6,544.7
Columbia Falls Elementary,600.3,607.9,697.8
Congin School,454.1,449.9,544.1
Conners-Emerson School,609.1,609.8,683.9
Connor Consolidated School,496.8,499.7,538.7
Corinna Elementary School,396.4,396.9,
Cornish Elementary School,391.9,386.3,
Cornville Elementary School,504,502.9,537.3
Crescent Park School,454.8,454.8,541.7
Crooked River Elementary,495.5,496.1,538.6
Cushing Community School,405.9,406.8,
Daniel F. Mahoney Middle School,734.9,746,848
Daniel W Merritt School,579.3,579.3,743.5
Dawn F Barnes Elementary Sch,584.1,586.6,664.2
Dayton Consolidated School,459.7,456.9,543.4
Dedham School,603.2,606.1,738.9
Deer Isle-Stonington Elementary Sch,612.3,616.2,711.8
Denmark Elementary School,459.4,459.6,538.6
Dexter Middle School,687.9,691.4,694.9
Dexter Primary School,396.1,394.7,
Dirigo Elementary School,443.6,444.8,540
Dora L Small Elementary School,450.1,449.8,547.7
Downeast School,350.1,343.5,
Dr Carl E Troutt School,415.1,417.7,
Dr Levesque Elementary School,502.7,504.7,542.1
Dr Lewis S Libby School,608,613.1,701.1
Dresden Elementary School,459.8,456.7,537.4
Drowne Road School,352.6,345.1,
Durham Community School,597.7,595.4,680.9
Dyer Elementary School,438.7,435.7,543.9
Eagle Lake Elem/Jr High School,574.5,581.4,732.1
East Auburn Community School,493.8,491.9,546.1
East Belfast School,422.6,429.1,538.5
East End Community School,429.8,437.3,533.2
East Grand School,589.1,593.1,747.3
East Range II CSD School,572.5,580.3,754
Easton Elementary School,509.4,509.6,552.5
Easton Junior-Senior High Sch,793.3,804.5,856.5
Eastport Elementary School,605.1,604.5,687
Eddington School,400.8,397.6,
Edgecomb Eddy School,493.4,487.4,556
Edmunds Consolidated School,588.9,598.5,684.7
Edna Drinkwater School,438.6,441.7,544.1
Edna Libby Elementary School,352.5,346,
Eliot Elementary School,354.6,345,
Ella Lewis School,608.4,609.9,712.8
Ella P Burr School,398.8,400.5,
Ella R Hodgkins School,792.7,802.8,841.2
Ellsworth Middle School,748.1,752.8,849.9
Elm Street School-East Machias,621.8,626.5,708.8
Elm Street School-Mechanic Falls,595.7,595.9,686
Embden Elementary School,463.9,465.9,547.2
Emerson School,346.8,344,
Enfield Station Elementary School,452.1,451.2,545.4
Eric L Knowlton School,615.1,616.2,539.7
Etna-Dixmont School,592.7,596.4,664.3
Eva Hoyt Zippel School,447,441.9,545.9
Exeter Consolidated School,430.3,428.1,538.4
Fairmount School,497.2,495,544.4
Fairview School,498,495.4,545.1
Falmouth Middle School,711.7,711.6,708.2
Farrington School,495.2,498.1,542.7
Farwell Elementary School,485.7,486.2,542.1
Fayette Central School,447.9,447.5,542.9
Fisher-Mitchell School,443.2,444.3,541
Forest Hills Consolidated School,629.9,630,718.3
Fort Fairfield Elementary School,436.3,431.6,543.4
Fort Fairfield Middle/High School,728.2,734.8,837.9
Fort Kent Elementary School,604.3,608.9,682.1
Fort O'Brien School,535.1,543.6,715.7
Fort Street School,488.6,492.5,539.5
Fourteenth Street School,361,350.6,
Frank H Harrison Middle School,706.6,708.9,704.8
Frank I Brown Elementary School,437,437.2,540.9
Frank Jewett School,418.8,416,546.2
Frankfort Elementary School,440.7,435.8,538
Fred P Hall School,447,448.8,542.6
Fred W Morrill School,388.5,393.1,
Freeport Middle School,742.4,749.1,854.2
Frenchboro Elementary School,519,527.3,856
Friendship Village School,509.9,501.7,551.5
Frisbee Elementary School,442.9,439.5,544.3
Fruit Street School,352.8,345.8,
Future Builder's Inc (NTLP),816,836,846
Gardiner Regional Middle School,742.5,746.6,844
Garret Schenck School,461.4,464.7,540
General Bryant E Moore School,455.9,451.5,543
George B Weatherbee School,465.6,462,547.5
George E Jack School,496.3,493,541.8
George J Mitchell School,345.2,343.8,
Georgetown Central School,489.3,484.7,546.8
Glenburn Elementary School,603.9,606.3,731
Glenn Stratton Learning Center,604.8,608.5,710.4
Gorham Middle School,752.7,757.7,851.2
Governor Baxter School for the Deaf,632.2,617.3,816
Governor James B Longley Elem Sch,463.9,469.2,529.7
Graham Lake School,578,582,
Granite Street School,436.1,438.3,540.4
Gray-New Gloucester Middle School,755.1,761.3,847.2
Great Salt Bay Community School,606.9,607.6,725.8
Greely Middle School,758.6,759.7,853.8
Greene Central School,502.3,501.1,539.7
Greenville Middle/High School,736.2,745.8,844.3
Guilford Primary School,350.4,344.8,
Guy E Rowe School,500.5,500.4,544.3
H B Emery Jr Memorial School,455.6,450.1,541.8
Hall-Dale Elementary School,448.2,442.8,544.8
Hall-Dale Middle School,753.1,757.9,847.8
Hancock Grammar School,597.6,595.3,695.8
Harmony Elementary,562.9,564.5,698
Harpswell Community School,449.2,447.7,545
Harrington Elementary School,595.2,597.7,729.5
Harrison Elementary,505.8,507.2,540.9
Harrison Lyseth Elem School,448.8,449,545.6
Hartford-Sumner Elementary School,499.8,502.1,540.9
Hartland Consolidated School,402.7,400.5,
Hawthorne School,450.2,451,535.7
Hebron Station School,493.6,491.7,548.5
Helen S Dunn Elementary School,591.7,599,675.7
Helen Thompson School,434.4,435.9,543.9
Henry L Cottrell School,344.7,344.8,
Hermon Elementary School,395.7,391.6,
Hermon Middle School,694.6,700.4,690.2
Hichborn Middle School,729.2,736.1,841.8
Holbrook School,701.2,703.6,700.5
Holden School,399.5,400.4,
Hollis School,458,455.3,543.5
Hope Elementary School,591.2,588.9,712.6
Houlton Elementary School,348.5,346.5,
Houlton Junior High School,794.1,807.4,841.1
Houlton Southside School,543.6,546.8,542.3
Howard C Reiche Community Sch,444.8,443,541.1
Hudson Elementary School,415.5,407,
Indian Island School,608,612.6,709.6
Indian Township School,602,601.4,680.7
Isle au Haut Rural School,685.6,690.8,647.3
Islesboro Central School,624.3,634.4,729.1
James F. Doughty School,749.6,753.7,848.4
James H Bean School,463.3,460.1,545.3
James Otis Kaler Elementary School,429.4,430,535.2
Jameson Elementary School,348,344.9,
Jay Elementary School,403.8,394.9,
Jay Middle School,693,698.8,699.4
Jefferson Village School,607.5,613.1,672.3
Jonesboro Elementary School,609.2,612.4,683.7
Jonesport Elementary School,579.5,583.5,674.3
Jordan Acres School,443.4,441.9,545.8
Jordan-Small Middle School,693.3,693.6,697.2
Katahdin Elementary School,485.9,490.8,535.8
Katahdin Middle/High School,777.9,784.7,840.3
Kennebunk Elementary School,356.1,349.1,
Kennebunkport Consolidated Sch,470.8,462.1,552.2
Kermit S Nickerson School,458.6,462.9,538.5
King Middle School,745.3,751.6,846.4
Kingfield Elementary School,602.5,600.5,721.2
Kingman Elementary School,395.8,412,568
Lafayette School,347.2,343.9,
Lake Region Middle School,745.3,750.5,846.4
Lamoine Consolidated School,608.2,609.8,680.3
Lawrence Jr High School,791,800.9,841.2
Lebanon Elementary Schools,451.2,445,539.7
Lee/Winn School,390.6,389.4,
Leeds Central School,497.1,496,548.1
Leonard Middle School,753.3,758.6,850.8
Leroy H Smith School,448.6,446.1,540.5
Lewiston Middle School,786.4,796.4,840.1
Libby-Tozier School,342.3,343.6,
Lillian Parks Hussey School,490.9,490.3,547.3
Limestone Community School,614.8,613.7,690.2
Lincoln Middle School,735.2,744.8,838.5
Lincoln School,478.6,480.4,535.7
Lincolnville Central School,609.4,610.4,707.9
Line Elementary,499.5,499.1,546.9
Lisbon Community School,440.4,438,542.4
Livermore Elementary School,449.6,451.3,541
Livermore Falls Middle School,746,753.6,839.8
Long Island Elementary School,418.5,417.5,554
Longfellow School-Brunswick,445.2,441.5,549.2
Longfellow School-Portland,452.6,453.4,548.1
Loranger Middle School,654.6,660.3,724.6
Lubec Consolidated School,564.9,567.7,754.7
Lura Libby School,393.1,399.2,
Lyman Elementary School,502.7,502.7,539.8
Lyman Moore Middle School,734.8,743.9,845.1
Madawaska Elementary School,436.1,438.6,538.6
Madawaska Middle/High School,749.5,756.7,847.5
Madison Elementary School,407.2,404.5,
Madison Junior High School,686.2,693.4,688.2
Manchester Elementary School,449.3,449.5,540.9
Manchester School,504,503,544.4
Mapleton Elementary School,452.4,450.5,545.6
Maranacook Community Middle Sch,738.8,745.4,843.7
Marcia Buker School,440.5,443.4,552.2
Margaret Chase Smith Sch.-Sanford,349.8,344.3,
Margaret Chase Smith Sch.-Skowhegan,564.8,570.2,538.5
Marion C Cook School,433.2,428.6,550.9
Marshwood Great Works School,503.2,499.9,546.3
Marshwood Middle School,749.3,752.1,852.8
Martel School,501.8,502.4,542.8
Mary Snow School,505.2,500.8,547.9
Massabesic Middle School,795.7,800.8,844.5
Mast Landing School,456.1,452.5,545.9
Matinicus Elementary School,553.3,555.3,868
Mattanawcook Jr High School,692.2,698.3,689.6
ME Sp. Ed./M.H. Collaborative,599.3,612.3,676.6
Medomak Middle School,792.7,798.8,843.4
Medway Middle School,692.6,701.7,704.1
Memorial Middle School,746.6,753.4,846.3
Meroby Elementary School,443.2,446.9,538.4
Messalonskee Middle School,742.3,748.8,847.6
Middle School of the Kennebunks,755.9,757.1,849.9
Milbridge Elementary School,588.8,593.6,662.6
Mildred L Day School,448.8,449.9,540.7
Miles Lane School,399.2,399.9,
Mill Pond School,596.5,593.8,692.8
Mill Stream Elementary School,500.6,500.7,540.5
Miller School,487.7,487.9,539.7
Millinocket Middle School,732.3,740.8,844.4
Milo Elementary School,491.1,492.3,542.2
Minot Consolidated School,605.3,604.8,699
MMCFC - Main,473.2,474.8,528
MMCFC - Rodman,803.3,827.3,820.7
Molly Ockett Middle School,754.5,758.8,847.2
Monhegan Island School,603.2,603.6,644
Monmouth Middle School,657.1,662.4,716.3
Monroe Elementary School,470.4,472.8,539.3
Monson Elementary School,397.7,397,
Montello School,479.2,480.5,533.6
Morison Memorial School,470.6,467.6,540.5
Morse Memorial School,497.1,496.2,541.2
Moscow Elementary,411.8,410.1,
Mountain Valley Middle School,743,752.6,849.9
Mountain View School,595.5,596.3,683.5
Mountain View Youth Dev Ctr,800,866,832
Mt Ararat Middle School,743.3,748.9,848.3
Mt Blue Middle School,789.7,796.1,842.8
Mt Desert Elementary School,644.5,649.6,765.7
Mt Jefferson Jr High School,696.6,705.1,704.5
Mt Vernon Elementary School,465.1,458,547.5
Mt View Elementary School,482.1,483.2,539.8
Mt View Middle School,787.6,794,836
Nathan Clifford School,454.1,451.9,546.7
New Suncook School,443,445,545.2
New Sweden Consolidated School,608.3,605.4,672.6
Newburgh Elementary School,347.1,343.5,
Newport Elementary School,395.1,396.1,
NFI Buxton-Beacon House,800,800,800
NFI Dodge House Day School,509.3,513.3,534
NFI Sidney Riverbend School,716.7,739.3,
NFI-Stetson Ranch School,814,842,836
Nickerson Elementary School,414.6,414.6,544.6
Noble Middle School,798.9,801.1,845.5
Nobleboro Central School,585.3,587.7,677.9
North Berwick Elementary Schools,448.7,442.9,543.9
North Haven Community School,573.4,580.2,605.6
North Yarmouth Memorial School,511.6,506.3,549.2
Old Town Elementary School,455.7,452.6,544.9
Opal Myrick Elementary School,404.1,403,
Opportunity Training Center,680.7,684,666
Orland Consolidated School,578.2,577.6,692.5
Orono Middle School,759,759.3,858.7
Otisfield Community School,474.7,472.5,538.8
Owls Head Central School,467,460,544.7
Oxford Elementary School,493.5,494.1,538.9
Oxford Hills Middle School,783.4,793.6,841.1
Oxford-Cumberland Canal School,450.8,446,544.3
Palermo Consolidated School,594.6,599.1,703.7
Palmyra Consolidated School,396.4,398.3,
Paris Elementary School,492.3,494.4,543.5
Park Avenue Elementary School,492,492.2,543.1
Patrick Therriault School,468.4,466.9,552.7
Peaks Island School,436.6,428.4,556
Pembroke Elementary School,590.9,591.8,745.8
Pemetic Elementary School,616.4,619.2,752.4
Peninsula School,580.9,580,705.2
Penobscot Elementary School,595.7,594.5,711.2
Penquis Valley High School,783.8,795,837.7
Perry Elementary School,588.9,588.6,681.6
Pettingill Elementary School,486.6,486.7,542
Philip W Sugg Middle School,741.6,746.7,847.1
Phillips Elementary School,597,594.4,693.4
Phippsburg Elementary School,432.9,430,543.2
Piscataquis Community Middle Sch,642,645.7,679
Pittston Consolidated School,444.6,441.2,543.5
Plummer-Motz School,406.6,399.8,
Poland Community School,506.2,504.7,546.3
Pond Cove Elementary,408.3,403.1,
Pownal Elementary School,601.9,606.8,702.2
Prescott Memorial School,502.3,498.7,544.9
Presque Isle Middle School,740.8,748.1,845.2
Presumpscot School,439.6,439.9,544.2
Princeton Elementary School,638.7,637.8,712.2
Providence's Merrymeeting Center,599.6,622.8,756.5
Quimby Middle School,678.3,685.4,669.8
Rangeley Lakes Regional School,560.6,566.1,677.6
Raymond Elementary School,405.1,402.2,
Readfield Elementary School,442.1,444.5,547
Reeds Brook Middle School,760.6,766.7,850.4
Renaissance School,545.7,562.8,572.3
Richmond Middle School,738.2,747.9,850.4
River View Community School,437,439.4,539.7
Riverside School LLC (NTLP),784,787,802.7
Riverton School,434.7,437.2,534.2
Robbinston Grade School,606.9,613,711
Rockland District Middle School,738.4,745.1,841
Rockwood Elementary School,542,548,536
Rose M Gaffney School,585.4,583.2,699.9
Rumford Elementary,445.2,448.4,539.3
Sabattus Central School,598.1,602.3,699.4
Saco Middle School,745.8,753.2,848.1
Sacopee Valley Middle School,686.3,695.3,689.5
SAD #53 Alternative Education,700,718,
Samuel D Hanson School,491,484.6,544.8
Samuel L Wagner Middle School,742.7,749.7,845.6
Sanford Jr High School,795.4,800.2,842.9
Scarborough Middle School,751.5,757.7,851.8
Se Do Mo Cha Elementary School,407.9,404.2,
Se Do Mo Cha Middle School,691.9,697.8,700.4
Sea Road School,511.4,508,550.1
Searsport District Middle School,732.3,733.6,846.8
Searsport Elementary,444.5,437,545.6
Sebago Elementary School,459.3,453.7,543
Sebasticook Valley Middle School,697.3,704.3,711.5
Sedgwick Elementary School,609.5,610.3,698.8
Shapleigh Memorial School,489.6,489.4,544
Shapleigh School,738.5,744.4,846.6
Sherwood Heights Elementary Sch,499.4,496.1,541.5
Shirley Elementary School,374,352,
Skowhegan Area Middle School,791.7,800.8,841
So Aroostook School,593.4,594.1,710.4
Solon Elementary School,461.8,452.8,550.6
Somerset Valley Middle School,681,687.6,684.4
Somerville Elementary School,617.4,619.4,704.4
Songo Locks School,352.1,346,
South Bristol Elementary School,621.2,621,723.9
South Hiram Elementary School,397.1,398.8,
South School,445,440.7,537.5
Southport Central School,459.2,456.5,546.8
Spring Harbor Academy,,534,
Spurwink Brunswick Staff Intensive,782.7,790,833
Spurwink Cornville Staff Intensive,529,538,
Spurwink School--S Portland,623.7,623.8,757.2
Spurwink-Chelsea,665.7,673.5,820.7
Spurwink-Lewiston/Auburn,689.8,703.7,813.5
St Albans Consolidated,400.1,396.1,
St Francis Elementary School,608.2,616.3,717.8
St George School,614.4,618.7,740.7
State Street School,490.7,495.6,542.7
Steep Falls Elementary School,350.6,344.3,
Stetson Elementary School,402.4,394.9,
Stevens Brook School,449.8,448.7,540.6
Stillwater Academy,620.7,614,500
Stockton Springs Elementary Sch,443.6,438.2,539.2
Stratton Elementary School,584,584.2,639.1
Strong Elementary School,589.3,582,672.2
Surry Elementary School,614.1,615.1,706.8
Suzanne M Smith Elementary School,449.1,449,543.9
Swans Island Elementary School,533.6,533.7,751.3
Sylvio J Gilbert School,493.1,493.8,542.8
T W Kelly Dirigo Middle School,741.1,752.5,845.2
Teague Park School,391.1,390.5,
Telstar Middle School,747.2,753.5,845.4
Teresa C Hamlin Elem School,426.7,430.1,542.5
The School at Sweetser--Belfast,568.7,576.3,715.3
The School at Sweetser--Saco,707.9,723.5,779.6
Thomas J McMahon Elementary Sch,485.2,484.4,536.1
Thomaston Grammar School,689,696.5,696
Thornton Academy,739.5,748,837.1
Tremont Consolidated School,612.3,610.5,724.7
Trenton Elementary School,613.6,611.8,717.1
Tripp Middle School,787.6,796.1,847.6
Troy A Howard Middle School,745.8,754,846.5
Troy Central School,479.8,481.9,541.3
Turner Elementary School,557.8,557.2,545.6
Turner Primary School,344.5,342.6,
Union Elementary,491.3,490.6,539.9
Unity Elementary School,470.2,473.5,542.5
Van Buren Elementary School,604.3,607,697.1
Vanceboro Elementary School,611.1,618.3,682.3
Vassalboro Community School,608.8,611.5,720.3
Veazie Community School,595.3,596.2,707.6
Vickery School,385.9,388.7,
Village Elementary School-Gorham,448.7,446.8,545.5
Vinalhaven School,578.6,577.8,666.2
Vine Street School,353.7,347,
Viola Rand School,471.5,464.4,551.5
Vivian E Hussey Primary,399.4,396.6,
W G Mallett School,344.5,343.4,
Waldo T Skillin Elementary School,444.5,445.6,538.8
Wales Central School,608.7,614.9,689.8
Walker Memorial School,489.8,495,542.9
Wallagrass Elementary School,504.6,504.8,537.7
Walton School,465.3,463.6,547.3
Warren Community School,499.7,498.8,541.4
Warsaw Middle School,685.4,693.9,687.4
Washburn District Elem School,598.9,607.8,670.2
Washburn School,493.1,489,541.7
Washington Street School Bldg,341.1,342.9,
Waterboro Elementary School,498.2,494.5,544.2
Waterford Memorial School,492.3,491.5,537.6
Waterville Junior High School,746.6,753,845.9
Wayne Elementary School,482.7,483,541.7
Wellington School,350.3,343.1,
Wells Elementary School,409.5,404.5,
Wells Junior High School,699.6,700.3,693.7
Wentworth School,453.7,454.3,546.9
Wesley Elementary School,618,626.4,696
West Bath School,471.5,470,546.4
West Harpswell Elementary School,437.8,430.9,547.7
Westbrook Middle School,744.1,749.2,843.4
Whitefield Elementary School,621.2,624.5,715.4
Whiting Village School,624.6,631.3,706
Willard School,545.6,544.4,542.4
William S. Cohen School,755,755.5,855.7
Williams Elementary School,451.3,449.5,543.2
Williams-Cone School,447.8,445.4,546.3
Windham Middle School,745.4,748.6,847.8
Windham Primary School,349.4,346.8,
Windsor Elementary School,586.2,590.2,667.2
Winslow Elementary School,445.8,444.4,543.9
Winslow Junior High School,732.5,740.5,846.2
Winthrop Grade School,461.9,454.2,545.9
Winthrop Middle School,747.7,752,848.9
Wiscasset Middle School,694.6,701.5,694.1
Wiscasset Primary School,386.6,388.6,
Wisdom Middle High School,780.3,793.9,842.4
Woodland Consolidated Sch,611.1,611.2,697.9
Woodland Elementary School,505.5,508.1,537.9
Woodland Jr-Sr High School,803.5,806.8,840.1
Woodside Elementary School,450.8,449.7,547.1
Woodstock School,467.3,465.9,543.6
Woolwich Central School,609.4,609.7,713.9
Yarmouth Elementary School,413.6,408.1,
York Middle School,701.9,702.2,700.8
